CODCLIFOR;DOCUMENTO;TIPODOCUMENTO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;DATASCADENZA;IMPORTOSCEURO;ESITO;DSCESITO;DATAPAGEFF;IDTESTA
C  1737;FTI/2016/2547;Fatt. clienti italia;2016;FTI;2547;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;1651.5700;2;PAGATO;2016-06-10 00:00:00.000;422370
C  1755;FTI/2016/2549;Fatt. clienti italia;2016;FTI;2549;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;2272.2500;2;PAGATO;2016-06-10 00:00:00.000;422372
C  1788;FTI/2016/2551;Fatt. clienti italia;2016;FTI;2551;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;3403.3100;2;PAGATO;2016-10-04 00:00:00.000;422374
C  1808;FTI/2016/2553;Fatt. clienti italia;2016;FTI;2553;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;615.0000;2;PAGATO;2016-06-10 00:00:00.000;422376
C  1824;FTI/2016/2554;Fatt. clienti italia;2016;FTI;2554;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;4495.4000;2;PAGATO;2016-06-10 00:00:00.000;422377
C  1829;FTI/2016/2556;Fatt. clienti italia;2016;FTI;2556;;2016-06-10 00:00:00.000;2016-10-31 00:00:00.000;25558.5100;2;PAGATO;2016-12-01 00:00:00.000;422379
C  1836;FTI/2016/2558;Fatt. clienti italia;2016;FTI;2558;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;432.0000;2;PAGATO;2016-06-10 00:00:00.000;422381
C  1856;FTI/2016/2560;Fatt. clienti italia;2016;FTI;2560;;2016-06-10 00:00:00.000;2016-09-30 00:00:00.000;5733.5100;2;PAGATO;2016-06-10 00:00:00.000;422383
C  1861;FTI/2016/2562;Fatt. clienti italia;2016;FTI;2562;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1342.0000;2;PAGATO;2016-06-10 00:00:00.000;422385
C  1913;FTI/2016/2564;Fatt. clienti italia;2016;FTI;2564;;2016-06-10 00:00:00.000;2016-06-10 00:00:00.000;22540.5200;2;PAGATO;2016-06-17 00:00:00.000;422387
C  1930;FTI/2016/2566;Fatt. clienti italia;2016;FTI;2566;;2016-06-10 00:00:00.000;2016-06-10 00:00:00.000;2093.5200;2;PAGATO;2016-06-10 00:00:00.000;422389
C  1944;FTI/2016/2568;Fatt. clienti italia;2016;FTI;2568;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;2746.7100;2;PAGATO;2016-06-10 00:00:00.000;422391
C  1970;FTI/2016/2570;Fatt. clienti italia;2016;FTI;2570;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;10377.5600;2;PAGATO;2016-06-10 00:00:00.000;422393
C  1990;FTI/2016/2572;Fatt. clienti italia;2016;FTI;2572;;2016-06-10 00:00:00.000;2016-09-10 00:00:00.000;1753.7500;2;PAGATO;2016-06-10 00:00:00.000;422395
C  2016;FTI/2016/2574;Fatt. clienti italia;2016;FTI;2574;;2016-06-10 00:00:00.000;2016-08-31 00:00:00.000;1952.0000;0;NON EMESSO;NULL;422397
C  2061;FTI/2016/2576;Fatt. clienti italia;2016;FTI;2576;;2016-06-10 00:00:00.000;2016-07-31 00:00:00.000;175.3800;2;PAGATO;2016-06-10 00:00:00.000;422399
